"sku","nombre","descripcion","precio1","precio2","precio3","precio4","precio5","cantidad2","cantidad3","cantidad4","cantidad5","unidad_medida","CATEGORIA","ACTIVO"
"5380","ABLANDADOR DE CARNE ESPECIERO 120_GR","-",24.00,22.00,22.00,22.00,"",6.00,6.00,6.00,"","PZ","COLORANTES, CONCENTRADOS Y SABORIZANTES",1
"4109","ABLANDADOR DE CARNE KOCI 1_KG","-",68.00,68.00,68.00,68.00,"",1.00,1.00,1.00,"","PQ","COLORANTES, CONCENTRADOS Y SABORIZANTES",1
"1516","ABLANDADOR DE CARNE KOCI GRANEL","-",80.00,80.00,80.00,80.00,"",1.00,1.00,1.00,"","KG","COLORANTES, CONCENTRADOS Y SABORIZANTES",1
"5637","ACEITE AVE 400_ML","-",23.00,22.00,22.00,22.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"5269","ACEITE AVE 800_ML","-",36.00,34.50,34.50,34.50,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"5057","ACEITE AVE ACTION FRY 10_LT","-",414.00,414.00,414.00,414.00,"",1.00,1.00,1.00,"","PZ","ACEITES Y MANTECAS",1
"5065","ACEITE AVE ACTION FRY 3_LT","-",144.00,138.00,138.00,138.00,"",4.00,4.00,4.00,"","PZ","ACEITES Y MANTECAS",1
"0001","ACEITE CANOIL 946_ML","-",45.00,42.00,42.00,42.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"5134","ACEITE DE OLIVA DEOLEO 1_LT","-",157.00,145.00,145.00,145.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"5528","ACEITE DE OLIVA DEOLEO 2_LT","-",267.00,248.00,248.00,248.00,"",8.00,8.00,8.00,"","PZ","ACEITES Y MANTECAS",1
"5529","ACEITE DE OLIVA DEOLEO 500 ML","-",92.00,85.00,85.00,85.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"5302","ACEITE DE OLIVA EXTRA VIRGEN MULTICHEF 5_LT","-",656.00,656.00,656.00,656.00,"",1.00,1.00,1.00,"","PZ","ACEITES Y MANTECAS",1
"2124","ACEITE DE OLIVA EXTRA VIRGEN OLI 250_ML","-",107.00,98.00,98.00,98.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"2125","ACEITE DE OLIVA EXTRA VIRGEN OLI 500_ML","-",208.00,192.00,192.00,192.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"5298","ACEITE DE OLIVA MULTICHEF 5_LT","-",473.00,473.00,473.00,473.00,"",1.00,1.00,1.00,"","PZ","ACEITES Y MANTECAS",1
"5056","ACEITE DE SOYA NUTRIOLI 1.18_LT","-",64.00,61.00,61.00,61.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"3203","ACEITE DE SOYA NUTRIOLI 800_ML","-",44.00,42.00,42.00,42.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"5451","ACEITE DE SOYA NUTRIOLI ANTIGOTEO 700_ML","-",48.00,46.00,46.00,46.00,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
"0002","ACEITE EL FARO 900_ML","-",38.00,36.50,36.50,36.50,"",12.00,12.00,12.00,"","PZ","ACEITES Y MANTECAS",1
